date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:24	4911/4911	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Feb%202022%2002:00:23%20GMT	http://www.karneltravelguide.somee.com/robots.txt		(from )
09:00:25	72854/72854	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:24%20GMT	http://www.karneltravelguide.somee.com/	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/index.html	(from )
09:00:26	1338/1338	---M--	200	added ('OK')	image/png	etag:%22df329b173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/favicon.png	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/favicon.png	(from http://www.karneltravelguide.somee.com/)
09:00:30	460970/460970	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2002:00:26%20GMT	http://www.karneltravelguide.somee.com/css?v=VUn2EfuWFw-6eiZyfpk8lqQRANnCaF8ZidT79FkcpyU1	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/css7db2.css	(from http://www.karneltravelguide.somee.com/)
09:00:31	10999/10999	---M--	200	added ('OK')	text/javascript	date:Wed,%2023%20Feb%202022%2002:00:27%20GMT	http://www.karneltravelguide.somee.com/bundles/modernizr?v=wBEWDufH_8Md-Pbioxomt90vm6tJN2Pyy9u9zHtWsPo1	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/bundles/modernizr8fce	(from http://www.karneltravelguide.somee.com/)
09:00:32	4931/4931	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Feb%202022%2002:00:31%20GMT	http://www.karneltravelguide.somee.com/apple-touch-icon.png	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/apple-touch-icon.3.delayed	(from http://www.karneltravelguide.somee.com/)
09:00:32	5130/5130	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:32%20GMT	http://www.karneltravelguide.somee.com/Account/Login	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Account/Login.html	(from http://www.karneltravelguide.somee.com/)
09:00:34	49375/49375	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:33%20GMT	http://www.karneltravelguide.somee.com/Information/ToursitSpots	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Information/ToursitSpots.html	(from http://www.karneltravelguide.somee.com/)
09:00:34	36884/36884	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:33%20GMT	http://www.karneltravelguide.somee.com/Information/Hotels	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Information/Hotels.html	(from http://www.karneltravelguide.somee.com/)
09:00:35	32343/32343	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:34%20GMT	http://www.karneltravelguide.somee.com/Information/Resorts	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Information/Resorts.html	(from http://www.karneltravelguide.somee.com/)
09:00:36	31083/31083	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:35%20GMT	http://www.karneltravelguide.somee.com/Information/Transports	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Information/Transports.html	(from http://www.karneltravelguide.somee.com/)
09:00:37	32279/32279	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:37%20GMT	http://www.karneltravelguide.somee.com/Information/Restaurants	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Information/Restaurants.html	(from http://www.karneltravelguide.somee.com/)
09:00:41	34126/34126	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:40%20GMT	http://www.karneltravelguide.somee.com/Data/Search	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Data/Search.html	(from http://www.karneltravelguide.somee.com/)
09:00:42	46742/46742	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:40%20GMT	http://www.karneltravelguide.somee.com/About/About_Us	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/About/About_Us.html	(from http://www.karneltravelguide.somee.com/)
09:00:44	39977/39977	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Feb%202022%2002:00:42%20GMT	http://www.karneltravelguide.somee.com/Contact/Contact_Us	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/Contact/Contact_Us.html	(from http://www.karneltravelguide.somee.com/)
09:00:44	9763/9763	---M--	200	added ('OK')	image/png	etag:%22fc6cb5173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/Logo.png	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/Logo.png	(from http://www.karneltravelguide.somee.com/)
09:01:19	210099/210099	---M--	200	added ('OK')	image/jpeg	etag:%2250e5ca173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/slider3.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/slider3.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:23	18655/18655	---M--	200	added ('OK')	image/jpeg	etag:%22a2aecf173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-1.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-1.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:24	233964/233964	---M--	200	added ('OK')	image/jpeg	etag:%2250e5ca173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/slider4.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/slider4.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:25	289172/289172	---M--	200	added ('OK')	image/jpeg	etag:%229123c6173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/slider1.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/slider1.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:27	4951/4951	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Feb%202022%2002:01:26%20GMT	http://www.karneltravelguide.somee.com/tour-detail-right-sidebar.html	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/tour-detail-right-sidebar.13.delayed	(from http://www.karneltravelguide.somee.com/)
09:01:29	16298/16298	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-2.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-2.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:29	12792/12792	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-3.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-3.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:31	19816/19816	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-4.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-4.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:31	12974/12974	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-5.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-5.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:32	16470/16470	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-6.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-6.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:34	10580/10580	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-7.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-7.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:34	375005/375005	---M--	200	added ('OK')	image/jpeg	etag:%22af89c8173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/slider2.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/slider2.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:35	13996/13996	---M--	200	added ('OK')	image/jpeg	etag:%22779d2173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/tour-8.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/tour-8.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:39	40529/40529	---M--	200	added ('OK')	image/jpeg	etag:%2245864c173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/best-offer-cruise.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/best-offer-cruise.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:47	80493/80493	---M--	200	added ('OK')	image/jpeg	etag:%224637ba173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/mas-gallery-1.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/mas-gallery-1.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:50	89118/89118	---M--	200	added ('OK')	image/jpeg	etag:%224637ba173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/mas-gallery-3.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/mas-gallery-3.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:54	88033/88033	---M--	200	added ('OK')	image/jpeg	etag:%224637ba173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/mas-gallery-4.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/mas-gallery-4.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:55	133434/133434	---M--	200	added ('OK')	image/jpeg	etag:%224637ba173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/mas-gallery-2.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/mas-gallery-2.jpg	(from http://www.karneltravelguide.somee.com/)
09:01:59	76389/76389	---M--	200	added ('OK')	image/jpeg	etag:%224799bc173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/mas-gallery-5.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/mas-gallery-5.jpg	(from http://www.karneltravelguide.somee.com/)
09:02:01	6577/6577	---M--	200	added ('OK')	image/jpeg	etag:%22904ccd173ee6d51:0%22	http://www.karneltravelguide.somee.com/images/team-member-1.jpg	D:/prj/karnel-travel-guide/KarnelTravelGuide/www.karneltravelguide.somee.com/images/team-member-1.jpg	(from http://www.karneltravelguide.somee.com/)
